geometry,base_name,description
"POLYGON ((-73.785050504059186 40.688005823395009 0,-73.783934114196683 40.688403099146242 0,-73.783945210998269 40.688461997159934 0,-73.783636646600868 40.688570490835247 0,-73.784150986241826 40.689502152235022 0,-73.785201587296143 40.689074587093373 0,-73.784994550817956 40.688929782702083 0,-73.785414063554072 40.688631056589699 0,-73.785050504059186 40.688005823395009 0))",BP,
"POLYGON ((-73.78505792721948 40.68801562189356 0,-73.78486630265756 40.68767475842489 0,-73.78334380870136 40.688184210965034 0,-73.78356488801599 40.68853208220779 0,-73.78505792721948 40.68801562189356 0))",BP_Lot,
"POLYGON ((-74.127110019500336 40.633652516301652 0,-74.129440423870477 40.633471814511402 0,-74.129805439225876 40.632860161885937 0,-74.130002061141795 40.632432853173853 0,-74.12957274481991 40.632331472445593 0,-74.129156060420925 40.632191497347208 0,-74.12832273844711 40.632266181110651 0,-74.127906561989434 40.631623672112141 0,-74.126909104335411 40.631697662053512 0,-74.126984874254902 40.632953295805969 0,-74.127110019500336 40.633652516301652 0))",CA,
"POLYGON ((-74.238920629036187 40.531927900476781 0,-74.239033893876339 40.530885023394248 0,-74.239103766485911 40.530529197614037 0,-74.239139334084712 40.530372301367223 0,-74.236050814783269 40.529957354000622 0,-74.235842272994645 40.531540260909267 0,-74.238920629036187 40.531927900476781 0))",CH,
"POLYGON ((-73.84444858543377 40.77396359901856 0,-73.84453530833675 40.773128203704005 0,-73.83735626299043 40.77289545745798 0,-73.83796460911904 40.774123335670794 0,-73.83954881725438 40.77416806159708 0,-73.83955497092651 40.77410257207146 0,-73.83974627183935 40.77410797177562 0,-73.8397604734363 40.77387325554203 0,-73.83976309861394 40.773875556218634 0,-73.84082264817445 40.7739020942913 0,-73.840815021873 40.774188081241704 0,-73.84187128053958 40.774205531778506 0,-73.84188712642144 40.77393996318945 0,-73.84445057178486 40.77401050942828 0,-73.84444858543377 40.77396359901856 0))",CP,
"POLYGON ((-73.84122378831353 40.755878667900774 0,-73.84165622781127 40.75489276830216 0,-73.84146118531314 40.75491575180548 0,-73.84127642648454 40.754796198922506 0,-73.84124846976655 40.754630042947205 0,-73.84130410351834 40.75449182777912 0,-73.84132835957276 40.75442454730448 0,-73.84134337977483 40.75437904065785 0,-73.84175899905502 40.75465987233551 0,-73.84341577083902 40.7532811452188 0,-73.84408394446703 40.7528042069962 0,-73.84500244393438 40.75366117197172 0,-73.84502038579761 40.75362370048276 0,-73.8450811919551 40.75359556744938 0,-73.84519588750136 40.753554167312636 0,-73.84543851099218 40.75348244156882 0,-73.8459005304351 40.75334216874377 0,-73.84684388916062 40.753044905741056 0,-73.84700865629272 40.753344931466316 0,-73.84295839817308 40.75454973309985 0,-73.84332617712491 40.75527592376382 0,-73.84122378831353 40.755878667900774 0))",CS,
"POLYGON ((-73.824873 40.883434 0,-73.821161 40.884647 0,-73.821413 40.885024 0,-73.825436 40.883836 0,-73.824873 40.883434 0))",EC_North,
"POLYGON ((-73.8218526 40.8840789 0,-73.8244909 40.8832219 0,-73.8240312 40.8829408 0,-73.8236591 40.8826462 0,-73.8221745 40.8831116 0,-73.8218714 40.8827871 0,-73.8220753 40.8821829 0,-73.8223747 40.8820835 0,-73.8228618 40.8819152 0,-73.8221473 40.8812318 0,-73.8220444 40.8812378 0,-73.821976 40.8817002 0,-73.82152 40.8817083 0,-73.8208871 40.8816171 0,-73.8204498 40.883359 0,-73.8203801 40.8841701 0,-73.8205089 40.8849691 0,-73.8207475 40.8848231 0,-73.8209192 40.8845635 0,-73.8211767 40.884377 0,-73.8215086 40.8842044 0,-73.8216501 40.8840216 0,-73.8217963 40.8839745 0,-73.8218526 40.8840789 0))",EC_Main,
"POLYGON ((-73.900259038639405 40.677220527623433 0,-73.899895129765213 40.677189077532468 0,-73.898937401016823 40.677602917582973 0,-73.89895956350712 40.678659613617903 0,-73.900266642979986 40.679283149129823 0,-73.900259038639405 40.677220527623433 0))",EN,
"POLYGON ((-73.904156439209913 40.677059906920803 0,-73.904285495538005 40.676157329689019 0,-73.903591760017093 40.676100817916343 0,-73.903497576120728 40.677029844168381 0,-73.904156439209913 40.677059906920803 0))",EN_Lot_1,
"POLYGON ((-73.902914780008643 40.677016564662473 0,-73.903053956841589 40.676059548251722 0,-73.902569922267247 40.676017593142802 0,-73.902471568301507 40.677011966406162 0,-73.902914780008643 40.677016564662473 0))",EN_Lot_2,
"POLYGON ((-73.90064358764104 40.677405991269474 0,-73.90064704724395 40.678096620627585 0,-73.90118692129695 40.67769805688702 0,-73.90064358764104 40.677405991269474 0))",EN_Lot_3,
"POLYGON ((-73.927302005973601 40.614528205863166 0,-73.926584598759632 40.614572213731734 0,-73.926904412622108 40.617463853580077 0,-73.927613459003751 40.617395238725258 0,-73.927302005973601 40.614528205863166 0))",FB,
"POLYGON ((-73.92749759878562 40.61969326912022 0,-73.92742629531932 40.61904463310152 0,-73.92708552292632 40.61906769130585 0,-73.92715560033314 40.61971504189888 0,-73.92749759878562 40.61969326912022 0))",FB_Lot,
"POLYGON ((-73.896945995321801 40.706797517354303 0,-73.896627781407048 40.706156482565042 0,-73.894383295586124 40.706678764089652 0,-73.894682395194067 40.707382334989447 0,-73.896945995321801 40.706797517354303 0))",FP,
"POLYGON ((-73.89460977748485 40.70731743343963 0,-73.89195133738639 40.70796702032447 0,-73.89170102363522 40.70808028080438 0,-73.89138829482789 40.70843714996812 0,-73.89171127378603 40.70859359420511 0,-73.89195545696083 40.70869725817304 0,-73.89212288156544 40.70845071434448 0,-73.89255135013103 40.70863416601877 0,-73.89297260156553 40.70881722609618 0,-73.89306209737215 40.70867175171724 0,-73.8931592623105 40.70853128171962 0,-73.89304289299133 40.708220171066934 0,-73.89306805009632 40.708214277025775 0,-73.89289712822993 40.70780400996083 0,-73.89309735929109 40.70775476169451 0,-73.89331006154376 40.707700281280886 0,-73.89373880833286 40.70759757312498 0,-73.89428864063332 40.70746199741108 0,-73.8943793051588 40.70743865983606 0,-73.89446460010942 40.70741602971381 0,-73.89463241645198 40.70737381413971 0, -73.89463228861976 40.707374989279174 0,-73.89461357061853 40.70731869340893 0,-73.89460977748485 40.70731743343963 0))",FP_Lot,
"POLYGON ((-73.778005379439065 40.59292015406858 0,-73.778081574296735 40.593406024716117 0,-73.780031065251521 40.593158181338843 0,-73.779976786631352 40.592709008199769 0,-73.778005379439065 40.59292015406858 0))",FR,
"POLYGON ((-73.779878251362703 40.593390785620691 0,-73.779947195254024 40.593932523075253 0,-73.780656372283843 40.593894694740342 0,-73.780563171800665 40.593328898131332 0,-73.779878251362703 40.593390785620691 0))",FR_Lot,
"POLYGON ((-73.920721675283602 40.717166253772071 0,-73.919429555708064 40.717531039486524 0,-73.920075421050555 40.718886966856239 0,-73.920759389359432 40.718700444905117 0,-73.921472391338582 40.718841000261477 0,-73.921547797546509 40.718823088953407 0,-73.921575942573128 40.718779135836762 0,-73.921632909826641 40.718767182842967 0,-73.921633423790809 40.718739691223703 0,-73.921985601334327 40.718645566639459 0,-73.921869925050927 40.718385967706098 0,-73.922093503409357 40.718318304763258 0,-73.922045851987036 40.718188578810917 0,-73.921286400285609 40.71839534346762 0,-73.920721675283602 40.717166253772071 0))",GA,
