DEPOT,AUTH_ID,PASS_NUMBER,ROUTE,RUN_NUMBER,SERV_ID,DATE,TIMESTAMP
126T,TA,001663,126T,XL27,,2011-11-11,2011-11-10 12:47:46
126T,TA,001663,M60,003,0,2011-11-11,2011-11-10 20:28:46
126T,TA,001897,M60,024,0,2011-11-11,2011-11-04 11:02:04
126T,TA,010897,M116,301,2,2011-11-11,2011-11-10 09:52:06
126T,TA,011018,SBS15,146,0,2011-11-11,2011-11-10 11:49:02
126T,TA,011052,M116,308,2,2011-11-11,2011-11-10 20:28:54
126T,TA,011052,SBS15,OTVOL,,2011-11-11,2011-11-10 12:51:20
126T,TA,011052,SBS15,104,0,2011-11-11,2011-11-10 20:28:46
126T,TA,012149,SBS15,118,0,2011-11-11,2011-11-10 20:28:49
126T,TA,013422,126T,XL04,,2011-11-11,2011-11-10 12:47:49
126T,TA,013422,SBS15,106,0,2011-11-11,2011-11-10 20:28:47
126T,TA,013437,126T,XL06,,2011-11-11,2011-11-10 12:47:51
126T,TA,013437,SBS15,111,0,2011-11-11,2011-11-10 20:28:48
126T,TA,013437,SBS15,120,0,2011-11-11,2011-11-11 05:11:31
126T,TA,020419,M60,007,0,2011-11-11,2011-11-10 20:28:47
126T,TA,024065,M116,311,2,2011-11-11,2011-11-10 20:28:56
126T,TA,024065,M15,OTVOL,,2011-11-11,2011-11-10 10:16:10
126T,TA,024065,M15,010,0,2011-11-11,2011-11-10 20:28:47
126T,TA,024598,126T,002,,2011-11-11,2011-11-04 11:27:57
126T,TA,028154,SBS15,140,0,2011-11-11,2011-11-10 20:28:52
126T,TA,029014,M31,013,0,2011-11-11,2011-11-10 20:28:51
126T,TA,029033,M35,207,2,2011-11-11,2011-11-10 20:28:57
126T,TA,029347,SBS15,133,0,2011-11-11,2011-11-10 15:56:36
126T,TA,030207,SBS15,143,0,2011-11-11,2011-11-10 20:28:54
126T,TA,032831,M15,035,0,2011-11-11,2011-11-10 20:28:52
126T,TA,043686,M15,016,0,2011-11-11,2011-11-10 20:28:48
126T,TA,049013,SBS15,103,0,2011-11-11,2011-11-10 20:28:46
126T,TA,058369,SBS15,146,0,2011-11-11,2011-11-10 20:28:54
126T,TA,058369,SBS15,OTVOL,,2011-11-11,2011-11-10 10:16:11
126T,TA,058369,SBS15,105,0,2011-11-11,2011-11-10 20:28:47
ENYT,TA,077165,B42,013,0,2011-11-11,2011-11-10 19:04:05
GUNT,TA,079661,SBS12,207,0,2011-11-11,2011-11-10 19:06:17
126T,TA,085443,M31,004,0,2011-11-11,2011-11-10 12:23:43
126T,TA,103172,M15,019,0,2011-11-11,2011-11-10 20:28:49
126T,TA,104391,SBS15,124,0,2011-11-11,2011-11-10 20:28:50
126T,TA,104397,SBS15,136,0,2011-11-11,2011-11-10 20:28:51
126T,TA,107343,126T,001,0,2011-11-11,2011-11-10 20:28:45
126T,TA,107833,M60,016,0,2011-11-11,2011-11-10 20:28:50
126T,TA,110901,M31,012,2,2011-11-11,2011-11-10 20:28:52
126T,TA,116087,126T,XL16,,2011-11-11,2011-11-04 11:27:50
126T,TA,124244,M15,001,0,2011-11-11,2011-11-10 20:28:45
126T,TA,127020,M15,024,0,2011-11-11,2011-11-10 20:28:50
126T,TA,128733,M15,030,0,2011-11-11,2011-11-10 20:28:52
126T,TA,138001,M31,011,0,2011-11-11,2011-11-10 20:28:51
126T,TA,140951,M116,308,2,2011-11-11,2011-11-10 12:53:48
126T,TA,141363,126T,XL29,,2011-11-11,2011-11-04 11:02:00
WFRT,TA,144492,BX15,031,0,2011-11-11,2011-11-10 19:09:19
126T,TA,157490,M31,002,0,2011-11-11,2011-11-10 20:28:47
126T,TA,158652,M15,011,0,2011-11-11,2011-11-10 12:47:47
126T,TA,164983,M31,003,0,2011-11-11,2011-11-10 20:28:47
126T,TA,175309,126T,001,,2011-11-11,2011-11-04 11:27:56
126T,TA,175309,M15,003,0,2011-11-11,2011-11-10 20:28:45
126T,TA,176431,SBS15,110,0,2011-11-11,2011-11-10 20:28:47
126T,TA,190012,M60,034,0,2011-11-11,2011-11-10 20:28:56
126T,TA,199163,SBS15,121,0,2011-11-11,2011-11-10 20:28:49
MJQT,TA,203915,M23,001,0,2011-11-11,2011-11-10 19:52:37
126T,TA,210841,M60,006,0,2011-11-11,2011-11-10 20:28:46
126T,TA,210872,M15,007,0,2011-11-11,2011-11-10 12:47:48
126T,TA,218281,SBS15,130,0,2011-11-11,2011-11-10 20:28:50
