"ROUTE","DEST. SIGN CODE","DESTINATION                                                                                        SIGN CODE                                                                            MESSAGE","DIR","DIV","DEPOT",,"LOC.                                                                                              CODE","RES. GROUP LOC. CODE","ALIEN GROUP LOC. CODE","EFFECTIVE
PICK CODE"
,6,"NOT IN SERVICE",,,"ALL",,"0500","0500","0500",
,7,"SUBWAY
SHUTTLE",,,"ALL",,"0501","0501","0501",
,10,"SEE SIGN BELOW",,,"ALL",,"0502","0502","0502",
,11,"NEXT BUS PLEASE",,,"ALL",,"0503","0503","0503",
,12,"NOT IN SERVICE",,,"ALL",,"0505","0505","0505",
,13,"TRAINING BUS",,,"ALL",,"0504","0504","0504",
,22,"NYCT BUS",,,"ALL",,"0506","0506","0506","B10"
"M1",1010,"HARLEM","N",,"HALE/MTV",,"0002","0002","1500","D10"
,,"147 ST",,,,,,,,
,,"via MADISON AV",,,,,,,,
"M1",1011,"EAST VILLAGE","S",,"HALE/MTV",,"0001","0001","1500","D10"
,,"8 ST",,,,,,,,
,,"via 5 AV",,,,,,,,
"M1",1012,"LIMITED","N",,"HALE/MTV",,"0004","0004","1500","D10"
,,"HARLEM",,,,,,,,
,,"147 ST",,,,,,,,
,,"via MADISON AV",,,,,,,,
"M1",1014,"59 ST","N",,"HALE/MTV",,"0002","0002","1500","D10"
"M1",1016,"110 ST","N",,"HALE/MTV",,"0002","0002","1500","D10"
"M1",1017,"23 ST","S",,"HALE/MTV",,"0001","0001","1500","D10"
"M1",1018,"125 ST","N",,"HALE/MTV",,"0002","0002","1500","D10"
"M1",1019,"106 ST-MADISON AV","S",,"HALE/MTV",,"0001","0001","1500","D10"
"M1",8011,"42 ST","S",,"HALE/MTV",,"0001","0001","1500","D10"
"M1",2011,"LIMITED","S",,"AM/HALE/MTV",,"0003","0003","1500","C10"
,,"EAST VILLAGE",,,,,,,,
,,"8 ST",,,,,,,,
,,"via 5 AV",,,,,,,,
"M2",1020,"WASHINGTON HEIGHTS","N",,"HALE/MTV",,"0006","0006","1500",
,,"BROADWAY-168 ST",,,,,,,,
,,"via MADISON AV",,,,,,,,
"M2",1021,"EAST VILLAGE","S",,"HALE/MTV",,"0005","0005","1500",
,,"8 ST",,,,,,,,
,,"via 5 AV",,,,,,,,
"M2",1022,"LIMITED","N",,"HALE/MTV",,"0008","0008","1500",
,,"WASHINGTON HEIGHTS",,,,,,,,
,,"BROADWAY-168 ST",,,,,,,,
"M2",1023,"LIMITED","S",,"HALE/MTV",,"0007","0007","1500",
,,"EAST VILLAGE",,,,,,,,
,,"8 ST",,,,,,,,
,,"via 5 AV",,,,,,,,
"M2",1024,"110 ST-5 AV","N",,"HALE/MTV",,"0006","0006","1500",
"M2",1025,"LIMITED","S",,"HALE/MTV",,"0007","0007","1500",
,,"42 ST",,,,,,,,
,,"via 5 AV",,,,,,,,
"M2",1026,"125 ST","N",,"HALE/MTV",,"0006","0006","1500",
"M2",1027,"LIMITED","S",,"HALE/MTV",,"0007","0007","1500",
,,"26 ST",,,,,,,,
,,"via 5 AV",,,,,,,,
